technique,case_id,state,runtime_avg,runtime_cnf
marking-5,QY,{'edge40'},0.0, 0.0
marking-7,QY,{'edge40'},0.0, 0.0
marking-9,QY,{'edge40'},0.0, 0.0
marking-3,QZ,{'edge7'},0.0, 0.0
marking-5,QZ,{'edge7'},0.0, 0.0
marking-7,QZ,{'edge7'},0.0, 0.0
marking-9,QZ,{'edge7'},0.0, 0.0
marking-3,R,{'edge6'},0.0, 0.0
marking-5,R,{'edge6'},0.0, 0.0
marking-7,R,{'edge6'},0.0, 0.0
marking-9,R,{'edge6'},0.0, 0.0
marking-3,RA,{'edge4'},0.0, 0.0
marking-5,RA,{'edge4'},0.0, 0.0
marking-7,RA,{'edge4'},0.0, 0.0
marking-9,RA,{'edge4'},0.0, 0.0
marking-3,RAA,{'edge2'},0.0, 0.0
marking-5,RAA,{'edge2'},0.0, 0.0
marking-7,RAA,{'edge2'},0.0, 0.0
marking-9,RAA,{'edge2'},0.0, 0.0
marking-3,RB,{'edge10'},0.0, 0.0
marking-5,RB,{'edge10'},0.0, 0.0
marking-7,RB,{'edge10'},0.0, 0.0
marking-9,RB,{'edge10'},0.0, 0.0
marking-3,RBA,{'edge40'},0.0, 0.0
marking-5,RBA,{'edge40'},0.0, 0.0
marking-7,RBA,{'edge40'},0.0, 0.0
marking-9,RBA,{'edge40'},0.0, 0.0
marking-3,RC,{'edge2'},0.0, 0.0
marking-5,RC,{'edge2'},0.0, 0.0
marking-7,RC,{'edge2'},0.0, 0.0
marking-9,RC,{'edge2'},0.0, 0.0
marking-3,RCA,{'edge7'},0.0, 0.0
marking-5,RCA,{'edge7'},0.0, 0.0
marking-7,RCA,{'edge7'},0.0, 0.0
marking-9,RCA,{'edge7'},0.0, 0.0
marking-3,RD,{'edge10'},0.0, 0.0
marking-5,RD,{'edge10'},0.0, 0.0
marking-7,RD,{'edge10'},0.0, 0.0
marking-9,RD,{'edge10'},0.0, 0.0
marking-3,RDA,{'edge10'},0.0, 0.0
marking-5,RDA,{'edge10'},0.0, 0.0
marking-7,RDA,{'edge10'},0.0, 0.0
marking-9,RDA,{'edge10'},0.0, 0.0
